rank,design,seq,theozyme_rmsd,n_atoms,tz_plddt,global_plddt,cif
134,22,5,4.0093,24,72.0,86.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_22-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
135,25,2,4.0134,24,82.0,93.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_25-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
136,21,6,4.0159,24,55.7,87.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_21-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
137,17,6,4.0213,24,65.9,84.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_17-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
138,40,3,4.0215,24,70.0,89.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_40-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
139,17,4,4.0219,24,62.2,85.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_17-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
140,15,5,4.0471,24,77.4,85.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_15-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
141,6,7,4.0525,24,60.0,88.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_6-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
142,8,3,4.0526,24,61.8,83.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_8-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
143,41,6,4.0543,24,55.3,84.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_41-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
144,21,0,4.0569,24,49.1,84.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_21-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
145,36,0,4.0981,24,54.6,85.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_36-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
146,17,5,4.1039,24,64.8,86.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_17-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
147,18,3,4.1121,24,65.7,89.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_18-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
148,13,2,4.1125,24,76.1,90.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_13-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
149,48,3,4.1125,24,79.3,90.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_48-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
150,20,0,4.1203,24,55.1,86.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_20-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
151,10,3,4.1360,24,55.8,86.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_10-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
152,7,4,4.1432,24,56.8,81.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_7-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
153,44,3,4.1601,24,86.3,88.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_44-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
154,1,4,4.1622,24,52.1,81.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_1-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
155,45,3,4.1711,24,57.8,86.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_45-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
156,43,1,4.1789,24,61.7,88.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_43-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
157,17,1,4.1808,24,74.0,88.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_17-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
158,44,2,4.1810,24,76.8,90.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_44-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
159,14,1,4.1870,24,66.8,89.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_14-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
160,25,5,4.1928,24,76.2,91.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_25-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
161,44,5,4.2001,24,73.8,87.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_44-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
162,48,4,4.2013,24,62.5,84.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_48-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
163,47,1,4.2168,24,70.8,91.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_47-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
164,15,1,4.2180,24,67.7,90.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_15-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
165,38,3,4.2448,24,62.1,81.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_38-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
166,15,7,4.2466,24,72.5,87.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_15-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
167,22,2,4.2490,24,64.8,85.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_22-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
168,10,6,4.2579,24,65.8,86.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_10-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
169,25,0,4.2588,24,81.8,92.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_25-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
170,43,3,4.2645,24,71.8,88.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_43-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
171,29,1,4.2664,24,70.8,89.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_29-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
172,47,2,4.2708,24,82.8,93.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_47-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
173,18,6,4.2765,24,60.0,88.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_18-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
174,44,7,4.2776,24,69.2,87.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_44-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
175,35,0,4.2836,24,62.2,85.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_35-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
176,36,1,4.2896,24,56.6,87.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_36-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
177,5,2,4.2960,24,50.7,78.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_5-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
178,20,1,4.3056,24,70.5,89.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_20-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
179,13,1,4.3151,24,64.1,87.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_13-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
180,32,3,4.3210,24,69.7,89.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_32-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
181,29,2,4.3224,24,72.9,89.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_29-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
182,7,5,4.3271,24,67.2,88.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_7-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
183,21,7,4.3407,24,45.8,86.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_21-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
184,41,2,4.3462,24,46.8,81.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_41-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
185,15,4,4.3475,24,70.9,88.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_15-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
186,32,7,4.3521,24,66.3,88.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_32-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
187,15,0,4.3779,24,74.1,90.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_15-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
188,38,5,4.3784,24,62.0,84.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_38-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
189,28,5,4.3990,24,73.3,90.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_28-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
190,32,1,4.4031,24,67.4,88.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_32-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
191,8,0,4.4092,24,57.2,83.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_8-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
192,49,6,4.4348,24,66.8,85.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_49-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
193,16,1,4.4367,24,63.7,90.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_16-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
194,31,1,4.4369,24,62.8,89.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_31-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
195,26,5,4.4380,24,58.1,83.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_26-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
196,18,5,4.4471,24,71.0,89.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_18-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
197,30,6,4.4548,24,55.5,85.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_30-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
198,32,0,4.4782,24,70.5,89.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_32-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
199,20,2,4.4840,24,56.8,86.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_20-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
200,17,0,4.4866,24,66.4,89.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_17-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
201,26,7,4.4889,24,59.8,87.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_26-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
202,6,4,4.5008,24,70.4,90.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_6-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
203,32,5,4.5076,24,68.9,89.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_32-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
204,16,6,4.5231,24,75.8,92.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_16-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
205,18,4,4.5275,24,69.9,91.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_18-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
206,37,6,4.5322,24,55.6,84.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_37-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
207,19,4,4.5337,24,66.3,85.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_19-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
208,24,4,4.5420,24,63.3,86.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_24-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
209,49,0,4.5454,24,56.2,85.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_49-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
210,38,1,4.5551,24,63.3,83.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_38-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
211,8,4,4.5588,24,54.3,82.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_8-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
212,32,4,4.5913,24,67.5,86.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_32-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
213,13,4,4.6020,24,69.1,89.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_13-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
214,30,0,4.6159,24,53.3,86.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_30-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
215,48,2,4.6329,24,52.7,84.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_48-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
216,45,2,4.6478,24,59.2,85.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_45-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
217,45,6,4.6485,24,66.1,88.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_45-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
218,15,2,4.6491,24,68.9,88.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_15-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
219,26,4,4.6498,24,56.7,87.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_26-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
220,1,7,4.6647,24,58.3,85.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_1-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
221,40,1,4.6683,24,52.8,86.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_40-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
222,28,6,4.6688,24,57.2,88.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_28-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
223,5,7,4.6837,24,53.8,81.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_5-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
224,45,4,4.6871,24,57.0,86.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_45-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
225,45,1,4.6893,24,65.0,88.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_45-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
226,19,3,4.6945,24,52.6,83.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_19-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
227,21,4,4.7099,24,63.0,86.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_21-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
228,47,5,4.7123,24,70.8,90.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_47-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
229,7,7,4.7303,24,62.4,81.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_7-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
230,18,2,4.7388,24,73.2,89.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_18-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
231,20,4,4.7931,24,60.2,87.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_20-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
232,31,3,4.8143,24,56.9,85.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_31-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
233,46,2,4.8252,24,61.1,87.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_46-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
234,17,3,4.8560,24,60.5,86.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_17-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
235,5,6,4.8567,24,58.4,81.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_5-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
236,26,3,4.8579,24,67.0,86.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_26-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
237,35,2,4.8606,24,65.6,89.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_35-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
238,46,3,4.8622,24,66.3,88.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_46-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
239,48,1,4.8795,24,57.6,85.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_48-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
240,16,4,4.8904,24,51.4,85.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_16-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
241,43,2,4.9142,24,64.2,90.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_43-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
242,26,0,4.9475,24,65.6,88.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_26-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
243,21,2,4.9517,24,58.8,85.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_21-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
244,35,3,4.9705,24,66.6,89.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_35-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
245,47,0,4.9713,24,61.2,91.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_47-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
246,13,0,4.9799,24,73.8,90.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_13-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
247,46,4,4.9808,24,57.4,84.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_46-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
248,21,3,5.0277,24,53.9,86.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_21-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
249,46,6,5.0367,24,68.3,88.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_46-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
250,38,7,5.0388,24,53.9,82.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_38-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
251,25,7,5.0533,24,73.8,90.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_25-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
252,5,5,5.0658,24,50.6,78.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_5-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
253,48,6,5.0662,24,77.6,90.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_48-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
254,29,4,5.0663,24,62.7,85.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_29-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
255,12,1,5.0751,24,68.5,90.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_12-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
256,15,3,5.0922,24,81.7,91.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_15-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
257,10,5,5.1047,24,49.8,86.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_10-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
258,43,6,5.1129,24,58.8,87.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_43-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
259,10,0,5.1209,24,61.3,89.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_10-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
260,9,3,5.1268,24,51.9,84.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_9-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
261,44,1,5.1848,24,73.4,90.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_44-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
262,17,2,5.2095,24,60.2,85.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_17-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
263,30,2,5.2105,24,50.3,84.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_30-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
264,33,6,5.2212,24,67.0,87.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_33-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
265,11,6,5.2559,24,69.7,87.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_11-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
266,35,6,5.3231,24,53.3,85.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_35-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
267,40,5,5.3326,24,72.6,90.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_40-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
